GAME_ID,Date,HomeTeam,AwayTeam,HomeSpread_AtOpen,HomeSpread_AtClose,2H_HomeSpread,Over_AtClose,2H_Over,ht_home,ht_away,ht_margin,pregame_home_expected_margin,h2_home_expected_margin,ht_margin_surprise_vs_fullgame_half,second_half_margin_no_ot,second_half_margin_with_ot,sign_flip_close_to_h2
0020700007,2007-10-31 00:00:00,NJN,CHI,-2.0,-1.5,3.0,186.0,94.0,56.0,41.0,15.0,1.5,-3.0,14.25,-15.0,-6.0,True
0020700008,2007-10-31 00:00:00,CLE,DAL,3.0,2.5,-4.0,184.0,91.5,34.0,54.0,-20.0,-2.5,4.0,-18.75,2.0,2.0,True
0020700021,2007-11-02 00:00:00,BOS,WAS,-6.0,-7.5,2.5,205.5,105.0,58.0,36.0,22.0,7.5,-2.5,18.25,-2.0,-2.0,True
0020700044,2007-11-06 00:00:00,CHA,PHX,4.0,4.0,-3.5,207.0,101.0,37.0,59.0,-22.0,-4.0,3.5,-20.0,-10.0,-10.0,True
0020700055,2007-11-07 00:00:00,PHI,CHA,-3.5,-4.0,3.0,189.0,93.5,49.0,32.0,17.0,4.0,-3.0,15.0,14.0,14.0,True
0020700058,2007-11-07 00:00:00,BOS,DEN,-5.5,-6.5,5.5,202.5,99.5,77.0,38.0,39.0,6.5,-5.5,35.75,-13.0,-13.0,True
0020700064,2007-11-08 00:00:00,CHI,DET,-1.5,-1.0,1.5,182.0,90.0,51.0,45.0,6.0,1.0,-1.5,5.5,-2.0,-2.0,True
0020700066,2007-11-09 00:00:00,PHI,TOR,-1.0,2.0,-1.5,187.5,94.5,39.0,47.0,-8.0,-2.0,1.5,-7.0,6.0,6.0,True
0020700073,2007-11-09 00:00:00,NOH,SAS,3.5,3.5,-1.0,186.0,94.0,45.0,52.0,-7.0,-3.5,1.0,-5.25,-5.0,-5.0,True
0020700071,2007-11-09 00:00:00,WAS,DEN,3.0,2.0,-1.5,209.5,106.5,51.0,60.0,-9.0,-2.0,1.5,-8.0,-17.0,-17.0,True
0020700079,2007-11-10 00:00:00,ORL,PHX,0.0,1.5,-4.0,209.0,102.5,43.0,59.0,-16.0,-1.5,4.0,-15.25,6.0,6.0,True
0020700088,2007-11-11 00:00:00,PHI,NOH,2.0,3.0,-2.5,190.5,95.0,37.0,51.0,-14.0,-3.0,2.5,-12.5,-7.0,-7.0,True
0020700090,2007-11-11 00:00:00,SAS,MIL,-10.5,-10.5,1.5,186.5,93.5,65.0,38.0,27.0,10.5,-1.5,21.75,-2.0,-2.0,True
0020700091,2007-11-11 00:00:00,SEA,DET,6.5,6.5,-1.0,196.0,96.0,52.0,64.0,-12.0,-6.5,1.0,-8.75,8.0,8.0,True
0020700092,2007-11-11 00:00:00,LAC,CLE,0.0,1.0,-1.5,192.0,95.0,44.0,50.0,-6.0,-1.0,1.5,-5.5,-2.0,-2.0,True
0020700093,2007-11-12 00:00:00,NJN,NOH,-2.0,2.0,-3.0,184.5,92.5,37.0,49.0,-12.0,-2.0,3.0,-11.0,10.0,10.0,True
0020700101,2007-11-13 00:00:00,SAS,LAL,-8.5,-8.0,1.0,199.0,98.0,54.0,38.0,16.0,8.0,-1.0,12.0,-1.0,-1.0,True
0020700105,2007-11-14 00:00:00,WAS,IND,-6.0,-5.5,2.0,200.5,99.0,56.0,41.0,15.0,5.5,-2.0,12.25,-2.0,-2.0,True
0020700106,2007-11-14 00:00:00,ATL,CHA,-5.0,-5.5,1.5,188.0,93.5,63.0,48.0,15.0,5.5,-1.5,12.25,-7.0,-7.0,True
0020700117,2007-11-15 00:00:00,DAL,SAS,-3.0,-1.5,5.0,189.5,94.0,59.0,40.0,19.0,1.5,-5.0,18.25,-6.0,-6.0,True
0020700122,2007-11-16 00:00:00,NJN,ORL,3.5,3.5,-2.0,186.0,94.0,32.0,45.0,-13.0,-3.5,2.0,-11.25,-12.0,-12.0,True
0020700128,2007-11-16 00:00:00,SAC,NYK,-3.0,-3.5,1.0,198.5,98.5,57.0,47.0,10.0,3.5,-1.0,8.25,-10.0,-5.0,True
0020700131,2007-11-17 00:00:00,WAS,POR,-5.5,-4.5,1.0,190.0,97.5,47.0,38.0,9.0,4.5,-1.0,6.75,10.0,10.0,True
0020700134,2007-11-17 00:00:00,NJN,MIA,-2.0,3.0,-1.5,174.0,88.0,35.0,45.0,-10.0,-3.0,1.5,-8.5,6.0,6.0,True
0020700137,2007-11-17 00:00:00,HOU,PHX,4.5,5.5,-1.5,196.0,98.0,57.0,69.0,-12.0,-5.5,1.5,-9.25,2.0,2.0,True
0020700140,2007-11-17 00:00:00,LAC,CHI,1.5,3.0,-1.5,187.0,92.5,40.0,51.0,-11.0,-3.0,1.5,-9.5,-8.0,-8.0,True
0020700146,2007-11-19 00:00:00,MEM,SEA,-6.0,-5.5,2.0,218.5,105.5,68.0,53.0,15.0,5.5,-2.0,12.25,2.0,2.0,True
0020700149,2007-11-20 00:00:00,WAS,PHI,-6.0,-5.0,3.0,183.5,93.5,60.0,44.0,16.0,5.0,-3.0,13.5,-1.0,-1.0,True
0020700152,2007-11-20 00:00:00,IND,LAL,2.0,1.5,-1.5,207.5,102.5,63.0,71.0,-8.0,-1.5,1.5,-7.25,-12.0,-12.0,True
0020700150,2007-11-20 00:00:00,ATL,SAS,5.5,6.0,-2.0,190.0,94.5,44.0,61.0,-17.0,-6.0,2.0,-14.0,5.0,5.0,True
0020700153,2007-11-20 00:00:00,NYK,GSW,0.0,1.0,-3.0,220.0,104.5,47.0,60.0,-13.0,-1.0,3.0,-12.5,-13.0,-13.0,True
0020700155,2007-11-20 00:00:00,DEN,CHI,-6.0,-8.5,2.0,201.5,101.0,72.0,53.0,19.0,8.5,-2.0,14.75,2.0,2.0,True
0020700172,2007-11-23 00:00:00,BOS,LAL,-7.5,-8.0,1.5,205.0,101.0,53.0,35.0,18.0,8.0,-1.5,14.0,-5.0,-5.0,True
0020700181,2007-11-23 00:00:00,SEA,NJN,3.0,3.0,-1.5,195.5,99.5,42.0,52.0,-10.0,-3.0,1.5,-8.5,5.0,5.0,True
0020700189,2007-11-24 00:00:00,HOU,DEN,-5.0,-6.0,2.0,200.5,96.5,58.0,40.0,18.0,6.0,-2.0,15.0,10.0,10.0,True
0020700194,2007-11-25 00:00:00,DET,UTA,-2.0,1.0,-1.5,190.0,97.5,50.0,57.0,-7.0,-1.0,1.5,-6.5,-3.0,-3.0,True
0020700211,2007-11-28 00:00:00,TOR,MEM,-8.0,-6.5,2.0,207.0,101.0,57.0,39.0,18.0,6.5,-2.0,14.75,-6.0,-6.0,True
0020700226,2007-11-30 00:00:00,NYK,MIL,0.0,1.0,-2.5,194.5,97.5,44.0,55.0,-11.0,-1.0,2.5,-10.5,14.0,14.0,True
0020700228,2007-11-30 00:00:00,MIA,BOS,2.5,2.5,-3.0,185.0,92.0,41.0,59.0,-18.0,-2.5,3.0,-16.75,8.0,8.0,True
0020700231,2007-11-30 00:00:00,UTA,LAL,-8.0,-5.0,3.0,209.0,106.0,70.0,51.0,19.0,5.0,-3.0,16.5,5.0,5.0,True
0020700240,2007-12-01 00:00:00,MIL,DET,2.5,5.0,-2.5,192.5,95.5,42.0,56.0,-14.0,-5.0,2.5,-11.5,-12.0,-12.0,True
0020700247,2007-12-02 00:00:00,DEN,MIA,-6.0,-5.0,2.5,207.0,102.0,59.0,42.0,17.0,5.0,-2.5,14.5,9.0,9.0,True
0020700248,2007-12-02 00:00:00,SEA,GSW,6.0,6.0,-2.5,218.5,104.5,41.0,60.0,-19.0,-6.0,2.5,-16.0,6.0,6.0,True
0020700250,2007-12-03 00:00:00,TOR,CHA,-5.0,-4.0,3.5,190.5,92.0,54.0,33.0,21.0,4.0,-3.5,19.0,-2.0,-2.0,True
0020700253,2007-12-03 00:00:00,CHI,DAL,3.0,3.0,-2.0,189.0,94.0,44.0,56.0,-12.0,-3.0,2.0,-10.5,7.0,7.0,True
0020700261,2007-12-04 00:00:00,LAC,MIL,-2.0,-1.5,2.5,193.0,96.0,49.0,36.0,13.0,1.5,-2.5,12.25,-22.0,-22.0,True
0020700269,2007-12-05 00:00:00,SAS,DAL,0.0,2.5,-1.0,194.5,98.0,42.0,49.0,-7.0,-2.5,1.0,-5.75,9.0,9.0,True
0020700271,2007-12-05 00:00:00,GSW,MIL,-9.0,-10.5,1.0,217.5,103.5,57.0,36.0,21.0,10.5,-1.0,15.75,9.0,9.0,True
0020700281,2007-12-07 00:00:00,NJN,HOU,4.0,5.0,-2.0,184.0,93.0,33.0,48.0,-15.0,-5.0,2.0,-12.5,8.0,8.0,True
0020700288,2007-12-08 00:00:00,ATL,MEM,-4.5,-4.0,1.5,204.0,100.0,39.0,28.0,11.0,4.0,-1.5,9.0,-3.0,-3.0,True
0020700294,2007-12-09 00:00:00,TOR,HOU,2.0,4.0,-2.0,186.5,92.5,34.0,45.0,-11.0,-4.0,2.0,-9.0,24.0,24.0,True
0020700308,2007-12-11 00:00:00,CLE,IND,-5.0,-2.0,3.0,197.0,97.0,65.0,49.0,16.0,2.0,-3.0,15.0,-3.0,-3.0,True
0020700307,2007-12-11 00:00:00,ATL,TOR,2.0,2.5,-2.0,185.0,92.0,43.0,54.0,-11.0,-2.5,2.0,-9.75,-1.0,-1.0,True
0020700310,2007-12-11 00:00:00,MEM,DET,6.0,5.5,-1.5,204.5,100.0,48.0,61.0,-13.0,-5.5,1.5,-10.25,3.0,3.0,True
0020700311,2007-12-11 00:00:00,CHI,SEA,-7.5,-8.5,1.0,192.5,94.5,67.0,49.0,18.0,8.5,-1.0,13.75,9.0,9.0,True
0020700313,2007-12-11 00:00:00,GSW,SAS,3.0,-2.0,3.5,214.5,103.0,53.0,37.0,16.0,2.0,-3.5,15.0,-4.0,-4.0,True
0020700329,2007-12-14 00:00:00,IND,TOR,-2.0,-2.5,1.5,204.0,100.0,52.0,41.0,11.0,2.5,-1.5,9.75,-22.0,-22.0,True
0020700350,2007-12-16 00:00:00,DET,GSW,-7.0,-5.5,4.0,208.0,99.5,58.0,35.0,23.0,5.5,-4.0,20.25,-1.0,-1.0,True
0020700356,2007-12-17 00:00:00,NYK,IND,2.5,2.5,-1.0,204.0,100.0,46.0,53.0,-7.0,-2.5,1.0,-5.75,-20.0,-20.0,True
0020700377,2007-12-19 00:00:00,SEA,NOH,3.0,2.5,-3.5,191.5,92.0,33.0,52.0,-19.0,-2.5,3.5,-17.75,5.0,5.0,True
0020700384,2007-12-21 00:00:00,CHA,NYK,-5.0,-6.0,2.5,193.5,95.5,67.0,44.0,23.0,6.0,-2.5,20.0,-13.0,-13.0,True
0020700396,2007-12-22 00:00:00,CHI,HOU,0.0,1.5,-0.5,184.0,93.0,48.0,52.0,-4.0,-1.5,0.5,-3.25,-14.0,-14.0,True
0020700400,2007-12-23 00:00:00,NYK,LAL,7.0,7.0,-0.5,204.0,101.0,37.0,55.0,-18.0,-7.0,0.5,-14.5,13.0,13.0,True
0020700404,2007-12-23 00:00:00,SAC,DEN,-3.0,-3.5,3.0,210.5,100.5,66.0,51.0,15.0,3.5,-3.0,13.25,-16.0,-16.0,True
0020700408,2007-12-26 00:00:00,PHI,MIA,-1.5,-3.0,4.0,191.5,93.5,55.0,38.0,17.0,3.0,-4.0,15.5,-6.0,-6.0,True
