rank_no,rank,oos_rmse_err,oos_wlp_err,coef_mae,fold_mae,gate_abs,target,scale,train_mode,margin,margin_rev,ht_sign,htsurp,spread,td_rev,tm_rev,2017_rmse,2017_bets,2018_rmse,2018_bets
1,3373.366219437415,0.01956596825890422,422,0.09070295561003694,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,False,1,expected,line,False,False,9.858626445567046,468,10.168486363917784,370
2,3373.366219437415,0.01956596825890422,422,0.09070295561003694,0.09610877972985872,1504,resid_withot,xscale,expanding,line,True,1,expected,line,False,False,9.858626445567046,468,10.168486363917784,370
3,3373.3662194374156,0.01956596825890422,422,0.09070295561003726,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,False,1,expected,line,False,False,9.858626445567046,468,10.168486363917784,370
4,3373.3662194374156,0.01956596825890422,422,0.09070295561003726,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,True,1,expected,line,False,False,9.858626445567046,468,10.168486363917784,370
5,3389.521882979159,0.01956596825890422,422,0.10685861915178083,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,False,1,expected,line,False,True,9.858626445567046,468,10.168486363917784,370
6,3389.521882979159,0.01956596825890422,422,0.10685861915178083,0.09610877972985872,1504,resid_withot,xscale,expanding,line,True,1,expected,line,False,True,9.858626445567046,468,10.168486363917784,370
7,3389.5218829791593,0.01956596825890422,422,0.10685861915178115,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,False,1,expected,line,False,True,9.858626445567046,468,10.168486363917784,370
8,3389.5218829791593,0.01956596825890422,422,0.10685861915178115,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,True,1,expected,line,False,True,9.858626445567046,468,10.168486363917784,370
9,3407.960877501351,0.020006812922948924,440,0.08085497001945696,0.09523392980458312,1254,resid_withot,xscale,expanding,expected,False,1,line,line,False,False,9.858742622558513,467,10.168811031590362,380
10,3407.960877501351,0.020006812922948924,440,0.08085497001945725,0.09523392980458312,1254,resid_withot,xyscale,expanding,expected,False,1,line,line,False,False,9.858742622558513,467,10.168811031590362,380
