GAME_ID,Date,HomeTeam,AwayTeam,HomeSpread_AtOpen,HomeSpread_AtClose,Over_AtOpen,Over_AtClose,HomeML,AwayML,2H_HomeSpread,2H_Over
0020700007,2007-10-31 00:00:00,NJN,CHI,-2.0,-1.5,188.0,186.0,-125,105,3.0,94.0
0020700008,2007-10-31 00:00:00,CLE,DAL,3.0,2.5,186.0,184.0,120,-140,-4.0,91.5
0020700021,2007-11-02 00:00:00,BOS,WAS,-6.0,-7.5,208.0,205.5,-335,285,2.5,105.0
0020700044,2007-11-06 00:00:00,CHA,PHX,4.0,4.0,210.0,207.0,165,-195,-3.5,101.0
0020700055,2007-11-07 00:00:00,PHI,CHA,-3.5,-4.0,190.0,189.0,-195,165,3.0,93.5
0020700058,2007-11-07 00:00:00,BOS,DEN,-5.5,-6.5,203.0,202.5,-295,245,5.5,99.5
0020700064,2007-11-08 00:00:00,CHI,DET,-1.5,-1.0,184.0,182.0,-120,100,1.5,90.0
0020700066,2007-11-09 00:00:00,PHI,TOR,-1.0,2.0,188.0,187.5,110,-130,-1.5,94.5
0020700073,2007-11-09 00:00:00,NOH,SAS,3.5,3.5,188.0,186.0,145,-165,-1.0,94.0
0020700071,2007-11-09 00:00:00,WAS,DEN,3.0,2.0,210.5,209.5,110,-130,-1.5,106.5
0020700079,2007-11-10 00:00:00,ORL,PHX,0.0,1.5,205.5,209.0,105,-125,-4.0,102.5
0020700088,2007-11-11 00:00:00,PHI,NOH,2.0,3.0,192.5,190.5,130,-150,-2.5,95.0
0020700090,2007-11-11 00:00:00,SAS,MIL,-10.5,-10.5,185.0,186.5,-700,550,1.5,93.5
0020700091,2007-11-11 00:00:00,SEA,DET,6.5,6.5,199.0,196.0,235,-275,-1.0,96.0
0020700092,2007-11-11 00:00:00,LAC,CLE,0.0,1.0,196.0,192.0,-110,-110,-1.5,95.0
0020700093,2007-11-12 00:00:00,NJN,NOH,-2.0,2.0,189.0,184.5,110,-130,-3.0,92.5
0020700101,2007-11-13 00:00:00,SAS,LAL,-8.5,-8.0,198.5,199.0,-365,305,1.0,98.0
