rank_no,rank_score,dataset,rows_dev,coef_mae,fold_mae,gate_abs_error,gate075_bets,gate075_W,gate075_L,gate075_P,actual_col,margin_mode,margin_reverse,ht_sign,ht_surprise_basis,spread_mode,total_disp_reverse,total_move_reverse,target_reverse
1,924.7357771340104,regular_table,4918,0.0870687098972325,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,line,False,False,False
2,924.7357771340104,regular_table,4918,0.0870687098972325,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,line,False,False,True
3,924.7357771340104,regular_table,4918,0.0870687098972325,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,line,False,False,False
4,924.7357771340104,regular_table,4918,0.0870687098972325,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,line,False,False,True
5,924.7357771340104,all,4918,0.0870687098972325,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,line,False,False,False
6,924.7357771340104,all,4918,0.0870687098972325,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,line,False,False,True
7,924.7357771340104,all,4918,0.0870687098972325,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,line,False,False,False
8,924.7357771340104,all,4918,0.0870687098972325,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,line,False,False,True
9,940.8914406757542,regular_table,4918,0.10322437343897639,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,line,False,True,False
10,940.8914406757542,regular_table,4918,0.10322437343897639,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,line,False,True,True
11,940.8914406757542,regular_table,4918,0.10322437343897639,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,line,False,True,False
12,940.8914406757542,regular_table,4918,0.10322437343897639,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,line,False,True,True
13,940.8914406757542,all,4918,0.10322437343897639,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,line,False,True,False
14,940.8914406757542,all,4918,0.10322437343897639,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,line,False,True,True
15,940.8914406757542,all,4918,0.10322437343897639,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,line,False,True,False
16,940.8914406757542,all,4918,0.10322437343897639,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,line,False,True,True
17,948.9572068433624,regular_table,4918,0.10346113058174808,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,line,False,False,False
18,948.9572068433624,regular_table,4918,0.10346113058174808,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,line,False,False,True
19,948.9572068433624,regular_table,4918,0.10346113058174808,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,line,False,False,False
20,948.9572068433624,regular_table,4918,0.10346113058174808,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,line,False,False,True
21,948.9572068433624,all,4918,0.10346113058174808,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,line,False,False,False
22,948.9572068433624,all,4918,0.10346113058174808,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,line,False,False,True
23,948.9572068433624,all,4918,0.10346113058174808,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,line,False,False,False
24,948.9572068433624,all,4918,0.10346113058174808,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,line,False,False,True
25,965.1128703851064,regular_table,4918,0.11961679412349197,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,line,False,True,False
26,965.1128703851064,regular_table,4918,0.11961679412349197,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,line,False,True,True
27,965.1128703851064,regular_table,4918,0.11961679412349197,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,line,False,True,False
28,965.1128703851064,regular_table,4918,0.11961679412349197,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,line,False,True,True
29,965.1128703851064,all,4918,0.11961679412349197,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,line,False,True,False
30,965.1128703851064,all,4918,0.11961679412349197,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,line,False,True,True
31,965.1128703851064,all,4918,0.11961679412349197,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,line,False,True,False
32,965.1128703851064,all,4918,0.11961679412349197,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,line,False,True,True
33,966.1463248045187,regular_table,4918,0.12847925756774084,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,line,True,False,False
34,966.1463248045187,regular_table,4918,0.12847925756774084,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,line,True,False,True
35,966.1463248045187,regular_table,4918,0.12847925756774084,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,line,True,False,False
