table,distinct_game_ids,base_intersection,2017/18,2017/18_err,2018/19,2018/19_err,2019/20,2019/20_err,2020/21,2020/21_err,2021/22_partial,2021/22_partial_err,target_abs_error_sum
BettingOdds_History,18283,17106,1230,0,1230,0,1058,4,1079,4,456,2,10
Game,62862,17106,1230,0,1230,0,1058,4,1079,4,456,2,10
Game_FullDetails,62863,17106,1230,0,1230,0,1058,4,1079,4,456,2,10
Game_Inactive_Players,19991,17087,1230,0,1230,0,1058,4,1079,4,456,2,10
Game_Officials,22195,17104,1230,0,1230,0,1058,4,1079,4,456,2,10
Game_Playoffs,4184,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Playoffs_FullDetails,4184,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Playoffs_Inactive_Players,1342,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Playoffs_Officials,1611,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Staging,6,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
