table_a,table_b,base_intersection,2017/18,2017/18_err,2018/19,2018/19_err,2019/20,2019/20_err,2020/21,2020/21_err,2021/22_partial,2021/22_partial_err,target_abs_error_sum
BettingOdds_History,Game,17106,1230,0,1230,0,1058,4,1079,4,456,2,10
BettingOdds_History,Game_FullDetails,17106,1230,0,1230,0,1058,4,1079,4,456,2,10
BettingOdds_History,Game_Inactive_Players,17087,1230,0,1230,0,1058,4,1079,4,456,2,10
BettingOdds_History,Game_Officials,17104,1230,0,1230,0,1058,4,1079,4,456,2,10
Game,Game_FullDetails,17106,1230,0,1230,0,1058,4,1079,4,456,2,10
Game,Game_Inactive_Players,17087,1230,0,1230,0,1058,4,1079,4,456,2,10
Game,Game_Officials,17104,1230,0,1230,0,1058,4,1079,4,456,2,10
Game_FullDetails,Game_Inactive_Players,17087,1230,0,1230,0,1058,4,1079,4,456,2,10
Game_FullDetails,Game_Officials,17104,1230,0,1230,0,1058,4,1079,4,456,2,10
Game_Inactive_Players,Game_Officials,17085,1230,0,1230,0,1058,4,1079,4,456,2,10
BettingOdds_History,Game_Playoffs,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
BettingOdds_History,Game_Playoffs_FullDetails,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
BettingOdds_History,Game_Playoffs_Inactive_Players,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
BettingOdds_History,Game_Playoffs_Officials,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
BettingOdds_History,Game_Staging,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game,Game_Playoffs,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game,Game_Playoffs_FullDetails,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game,Game_Playoffs_Inactive_Players,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game,Game_Playoffs_Officials,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game,Game_Staging,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_FullDetails,Game_Playoffs,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_FullDetails,Game_Playoffs_FullDetails,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_FullDetails,Game_Playoffs_Inactive_Players,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_FullDetails,Game_Playoffs_Officials,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_FullDetails,Game_Staging,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Inactive_Players,Game_Playoffs,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Inactive_Players,Game_Playoffs_FullDetails,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Inactive_Players,Game_Playoffs_Inactive_Players,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Inactive_Players,Game_Playoffs_Officials,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Inactive_Players,Game_Staging,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Officials,Game_Playoffs,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Officials,Game_Playoffs_FullDetails,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Officials,Game_Playoffs_Inactive_Players,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Officials,Game_Playoffs_Officials,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Officials,Game_Staging,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Playoffs,Game_Playoffs_FullDetails,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Playoffs,Game_Playoffs_Inactive_Players,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Playoffs,Game_Playoffs_Officials,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Playoffs,Game_Staging,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Playoffs_FullDetails,Game_Playoffs_Inactive_Players,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Playoffs_FullDetails,Game_Playoffs_Officials,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Playoffs_FullDetails,Game_Staging,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Playoffs_Inactive_Players,Game_Playoffs_Officials,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Playoffs_Inactive_Players,Game_Staging,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
Game_Playoffs_Officials,Game_Staging,0,0,-1230,0,-1230,0,-1054,0,-1075,0,-454,5043
